_id,Ministry,Ministere,Agency,Organisme,Position,Poste,Member / Membre,Term Start / Debut du mandat,Term End / Fin du mandat,Location / Emplacement
29,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales","Agriculture, Food and Rural Affairs Appeal Tribunal","Tribunal D'appel De L'agriculture, De L'alimentation Et Des Affaires Rurales",Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Tricia Schouten,2021-02-28,2024-02-27T00:00:00,Richmond
30,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales","Agriculture, Food and Rural Affairs Appeal Tribunal","Tribunal D'appel De L'agriculture, De L'alimentation Et Des Affaires Rurales",Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Brandi Neil,2021-05-02,2024-05-01T00:00:00,Orangeville
31,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales","Agriculture, Food and Rural Affairs Appeal Tribunal","Tribunal D'appel De L'agriculture, De L'alimentation Et Des Affaires Rurales",Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Andrew McBride,2021-08-17,2024-08-16T00:00:00,WINGHAM
32,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales","Agriculture, Food and Rural Affairs Appeal Tribunal","Tribunal D'appel De L'agriculture, De L'alimentation Et Des Affaires Rurales",Member (Part-Time),Membre (Temps Partiel),JUDY DIRKSEN,2021-04-15,2023-04-14T00:00:00,Harriston
33,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales","Agriculture, Food and Rural Affairs Appeal Tribunal","Tribunal D'appel De L'agriculture, De L'alimentation Et Des Affaires Rurales",Member (Part-Time),Membre (Temps Partiel),Betty Ann MacKinnon,2021-04-29,2023-04-28T00:00:00,"Glencoe, ON"
34,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales","Agriculture, Food and Rural Affairs Appeal Tribunal","Tribunal D'appel De L'agriculture, De L'alimentation Et Des Affaires Rurales",Member (Part-Time),Membre (Temps Partiel),David Stevens,2021-06-20,2024-06-19T00:00:00,Springford
35,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales","Agriculture, Food and Rural Affairs Appeal Tribunal","Tribunal D'appel De L'agriculture, De L'alimentation Et Des Affaires Rurales",Member (Part-Time),Membre (Temps Partiel),David Fawcett,2021-08-29,2024-08-28T00:00:00,Markdale
36,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales","Agriculture, Food and Rural Affairs Appeal Tribunal","Tribunal D'appel De L'agriculture, De L'alimentation Et Des Affaires Rurales",Member (Part-Time),Membre (Temps Partiel),Sarah Judd,2022-07-22,2025-07-21T00:00:00,SIMCOE
37,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Chair (Part-Time),Présidence (Temps Partiel),,,,
38,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Member (Part-Time),Membre (Temps Partiel),,,,
39,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Member (Part-Time),Membre (Temps Partiel),,,,
40,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Member (Part-Time),Membre (Temps Partiel),,,,
41,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Member (Part-Time),Membre (Temps Partiel),,,,
42,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Member (Part-Time),Membre (Temps Partiel),,,,
43,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Member (Part-Time),Membre (Temps Partiel),,,,
44,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Member (Part-Time),Membre (Temps Partiel),,,,
45,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Member (Part-Time),Membre (Temps Partiel),,,,
46,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Member (Part-Time),Membre (Temps Partiel),,,,
47,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Member (Part-Time),Membre (Temps Partiel),,,,
48,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Member (Part-Time),Membre (Temps Partiel),,,,
49,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Member (Part-Time),Membre (Temps Partiel),,,,
50,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Member (Part-Time),Membre (Temps Partiel),,,,
51,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Member (Part-Time),Membre (Temps Partiel),,,,
52,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Member (Part-Time),Membre (Temps Partiel),,,,
53,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Member (Part-Time),Membre (Temps Partiel),,,,
54,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Member (Part-Time),Membre (Temps Partiel),,,,
55,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Board Of Negotiation,Commission De Négociation,Member (Part-Time),Membre (Temps Partiel),,,,
56,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Business Risk Management Review Committee,Comité D'examen Des Programmes De Gestion Des Risques Des Entreprises,Chair (Part-Time),Présidence (Temps Partiel),,,,
57,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Business Risk Management Review Committee,Comité D'examen Des Programmes De Gestion Des Risques Des Entreprises,Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),,,,
58,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Business Risk Management Review Committee,Comité D'examen Des Programmes De Gestion Des Risques Des Entreprises,Member (Part-Time),Membre (Temps Partiel),Markus Wand,2020-09-09,2023-09-08T00:00:00,Powassan
59,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Business Risk Management Review Committee,Comité D'examen Des Programmes De Gestion Des Risques Des Entreprises,Member (Part-Time),Membre (Temps Partiel),Kim Sytsma,2021-01-21,2024-01-20T00:00:00,Athens
60,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Business Risk Management Review Committee,Comité D'examen Des Programmes De Gestion Des Risques Des Entreprises,Member (Part-Time),Membre (Temps Partiel),Tonya Haverkamp,2021-01-21,2024-01-20T00:00:00,Listowel
61,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Business Risk Management Review Committee,Comité D'examen Des Programmes De Gestion Des Risques Des Entreprises,Member (Part-Time),Membre (Temps Partiel),Patrick Jilesen,2022-03-01,2025-02-28T00:00:00,Denfield
62,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Business Risk Management Review Committee,Comité D'examen Des Programmes De Gestion Des Risques Des Entreprises,Member (Part-Time),Membre (Temps Partiel),Gerald Rollins,2022-08-28,2025-08-27T00:00:00,COBDEN
63,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Business Risk Management Review Committee,Comité D'examen Des Programmes De Gestion Des Risques Des Entreprises,Member (Part-Time),Membre (Temps Partiel),,,,
64,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Canadian National Exhibition Association,Association De L'exposition Nationale Canadienne,Ex Officio (Part-Time),Membre D'office (Temps Partiel),John Kelly,2020-08-17,,
65,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Canadian National Exhibition Association,Association De L'exposition Nationale Canadienne,Ex Officio (Part-Time),Membre D'office (Temps Partiel),Lisa Thompson,2021-06-18,,Toronto
66,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Council of the College of Veterinarians of Ontario,Conseil De L'ordre Des Vétérinaires De L'ontario,Member (Part-Time),Membre (Temps Partiel),Joy Levison,2022-06-26,2022-12-31T00:00:00,Oro-Medonte
67,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Council of the College of Veterinarians of Ontario,Conseil De L'ordre Des Vétérinaires De L'ontario,Member (Part-Time),Membre (Temps Partiel),Gayle Ecker,2020-03-05,2023-03-04T00:00:00,Puslinch
68,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Council of the College of Veterinarians of Ontario,Conseil De L'ordre Des Vétérinaires De L'ontario,Member (Part-Time),Membre (Temps Partiel),Catherine Knipe,2020-09-17,2023-09-16T00:00:00,Clarksburg
69,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Council of the College of Veterinarians of Ontario,Conseil De L'ordre Des Vétérinaires De L'ontario,Member (Part-Time),Membre (Temps Partiel),Rena Spevack,2022-06-26,2025-06-25T00:00:00,STRATFORD
70,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Council of the College of Veterinarians of Ontario,Conseil De L'ordre Des Vétérinaires De L'ontario,Member (Part-Time),Membre (Temps Partiel),,,,
71,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Grain Financial Protection Board,Commission De Protection Financière Des Producteurs De Céréales,Chair (Part-Time),Présidence (Temps Partiel),Dave Buttenham,2020-09-18,2023-09-17T00:00:00,Rockwood
72,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Grain Financial Protection Board,Commission De Protection Financière Des Producteurs De Céréales,Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),,,,
73,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Grain Financial Protection Board,Commission De Protection Financière Des Producteurs De Céréales,Member (Part-Time),Membre (Temps Partiel),Jennifer Macdonald,2020-03-13,2023-03-12T00:00:00,MARKDALE
74,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Grain Financial Protection Board,Commission De Protection Financière Des Producteurs De Céréales,Member (Part-Time),Membre (Temps Partiel),Paul Hazzard,2020-08-21,2023-08-20T00:00:00,Bright's Grove
75,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Grain Financial Protection Board,Commission De Protection Financière Des Producteurs De Céréales,Member (Part-Time),Membre (Temps Partiel),Lindsay Menich,2020-10-27,2023-10-26T00:00:00,Vanessa
76,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Grain Financial Protection Board,Commission De Protection Financière Des Producteurs De Céréales,Member (Part-Time),Membre (Temps Partiel),Nadine Schwandt,2020-10-27,2023-10-26T00:00:00,HANOVER
77,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Grain Financial Protection Board,Commission De Protection Financière Des Producteurs De Céréales,Member (Part-Time),Membre (Temps Partiel),Ron Campbell,2021-02-05,2024-02-04T00:00:00,ELORA
78,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Grain Financial Protection Board,Commission De Protection Financière Des Producteurs De Céréales,Member (Part-Time),Membre (Temps Partiel),Tyler McBlain,2021-08-21,2024-08-20T00:00:00,Caledonia
79,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Grain Financial Protection Board,Commission De Protection Financière Des Producteurs De Céréales,Member (Part-Time),Membre (Temps Partiel),Jeff Barlow,2022-03-28,2025-03-27T00:00:00,Hannon
80,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Grain Financial Protection Board,Commission De Protection Financière Des Producteurs De Céréales,Member (Part-Time),Membre (Temps Partiel),Keith Black,2022-03-28,2025-03-27T00:00:00,Belgrave
81,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Grain Financial Protection Board,Commission De Protection Financière Des Producteurs De Céréales,Member (Part-Time),Membre (Temps Partiel),Jeff Harrison,2022-05-22,2025-05-21T00:00:00,Quinte West
82,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Grain Financial Protection Board,Commission De Protection Financière Des Producteurs De Céréales,Member (Part-Time),Membre (Temps Partiel),Jennifer  Doelman,2022-06-26,2025-06-25T00:00:00,Douglas
83,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Livestock Financial Protection Board,Commission De Protection Financière Des Éleveurs De Bétail,Chair (Part-Time),Présidence (Temps Partiel),Paul Sharpe,2022-04-01,2025-03-31T00:00:00,Guelph
84,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Livestock Financial Protection Board,Commission De Protection Financière Des Éleveurs De Bétail,Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Jennifer Haley,2022-04-01,2025-04-07T00:00:00,ST. GEORGE
85,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Livestock Financial Protection Board,Commission De Protection Financière Des Éleveurs De Bétail,Member (Part-Time),Membre (Temps Partiel),Blair Williamson,2020-02-28,2023-02-27T00:00:00,Lambton Shores
86,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Livestock Financial Protection Board,Commission De Protection Financière Des Éleveurs De Bétail,Member (Part-Time),Membre (Temps Partiel),Don Gordon,2021-06-17,2024-06-16T00:00:00,Cannington
87,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Livestock Financial Protection Board,Commission De Protection Financière Des Éleveurs De Bétail,Member (Part-Time),Membre (Temps Partiel),Daphne Nuys-Hall,2021-12-13,2024-12-12T00:00:00,Cambridge
88,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Livestock Financial Protection Board,Commission De Protection Financière Des Éleveurs De Bétail,Member (Part-Time),Membre (Temps Partiel),Howard Greig,2022-03-06,2025-03-05T00:00:00,Owen Sound
89,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Normal Farm Practices Protection Board,Commission De Protection Des Pratiques Agricoles Normales,Chair (Part-Time),Présidence (Temps Partiel),Glenn Walker,2022-01-01,2024-12-31T00:00:00,Chatham
90,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Normal Farm Practices Protection Board,Commission De Protection Des Pratiques Agricoles Normales,Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Brandi Neil,2021-03-10,2023-03-09T00:00:00,Orangeville
91,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Normal Farm Practices Protection Board,Commission De Protection Des Pratiques Agricoles Normales,Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Christine Greydanus,2021-04-28,2023-04-27T00:00:00,Petrolia
92,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Normal Farm Practices Protection Board,Commission De Protection Des Pratiques Agricoles Normales,Member (Part-Time),Membre (Temps Partiel),John Lohuis,2020-01-30,2023-01-29T00:00:00,Tillsonburg
93,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Normal Farm Practices Protection Board,Commission De Protection Des Pratiques Agricoles Normales,Member (Part-Time),Membre (Temps Partiel),JUDY DIRKSEN,2021-04-15,2023-04-14T00:00:00,Harriston
94,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Normal Farm Practices Protection Board,Commission De Protection Des Pratiques Agricoles Normales,Member (Part-Time),Membre (Temps Partiel),Betty Ann MacKinnon,2021-04-29,2023-04-28T00:00:00,"Glencoe, ON"
95,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Normal Farm Practices Protection Board,Commission De Protection Des Pratiques Agricoles Normales,Member (Part-Time),Membre (Temps Partiel),Robert Fuller,2021-06-03,2023-06-02T00:00:00,Simcoe
96,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Normal Farm Practices Protection Board,Commission De Protection Des Pratiques Agricoles Normales,Member (Part-Time),Membre (Temps Partiel),Robert Brander,2020-10-26,2023-10-25T00:00:00,CALEDON
97,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Normal Farm Practices Protection Board,Commission De Protection Des Pratiques Agricoles Normales,Member (Part-Time),Membre (Temps Partiel),Lisa Hern,2021-05-22,2024-05-21T00:00:00,Kenilworth
98,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Normal Farm Practices Protection Board,Commission De Protection Des Pratiques Agricoles Normales,Member (Part-Time),Membre (Temps Partiel),Rod de Wolde,2021-06-10,2024-06-09T00:00:00,Millbrook
99,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Ontario Farm Products Marketing Commission,Commission De Commercialisation Des Produits Agricoles De L'ontario,Chair (Part-Time),Présidence (Temps Partiel),Amy Cronin,2022-05-07,2025-05-06T00:00:00,Bluevale
100,"Agriculture, Food and Rural Affairs","Ministère De L'agriculture, De L'alimentation Et Des Affaires Rurales",Ontario Farm Products Marketing Commission,Commission De Commercialisation Des Produits Agricoles De L'ontario,Vice-Chair (Part-Time),Vice-Présidence (Temps Partiel),Valerie Gilvesy,2022-08-17,2025-08-16T00:00:00,TILLSONBURG
