Ministry,Institution,Title,Title French
"AGRICULTURE, FOOD AND RURAL AFFAIRS","OFFICE OF THE CHIEF INFORMATION OFFICER, LAND AND RESOURCES I&IT CLUSTER",Performance Management,Gestion du rendement
"AGRICULTURE, FOOD AND RURAL AFFAIRS","AGRICULTURE, FOOD AND RURAL AFFAIRS APPEAL TRIBUNAL",Travel/Expense Accounts,Frais de deplacement et de representation
"AGRICULTURE, FOOD AND RURAL AFFAIRS",BUSINESS PLANNING AND FINANCIAL MANAGEMENT BRANCH,Travel/Expense Accounts,Frais de deplacement et de representation
"AGRICULTURE, FOOD AND RURAL AFFAIRS",STRATEGIC SOLUTIONS BRANCH,Workplace Safety and Insurance,Sécurité professionnelle et assurance contre les accidents du travail
"AGRICULTURE, FOOD AND RURAL AFFAIRS",STRATEGIC SOLUTIONS BRANCH,Workforce Information Network (WIN),Réseau d information sur les ressources humaines
"AGRICULTURE, FOOD AND RURAL AFFAIRS",LEGAL SERVICES BRANCH,Job Compettions,Concours d emploi
ATTORNEY GENERAL,FRENCH LANGUAGE SERVICES FOR THE JUSTICE SECTOR,"Tests, Examinations and Assessments","Tests, examens et evaluations"
ATTORNEY GENERAL,ONTARIO HUMAN RIGHTS COMMISSION,Workplace Discrimination and Harrassment prevention - Advisor Files,Prévention de la discrimination et du harcèlement au travail - Dossiers des conseillers
ATTORNEY GENERAL,CRIMINAL LAW DIVISION,Workplace Discrimination and Harrassment prevention - Advisor Files,Prévention de la discrimination et du harcèlement au travail - Dossiers des conseillers
ATTORNEY GENERAL,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,Career Planning/Training,Planification de carriere et formation
ATTORNEY GENERAL,CONSTITUTIONAL LAW BRANCH,Career Planning/Training,Planification de carriere et formation
ATTORNEY GENERAL,LEGAL SERVICES DIVISION,Career Planning/Training,Planification de carriere et formation
ATTORNEY GENERAL,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,"Co-op, Work Term, Final Job Placements","Programme d'education cooperative, travail pendant la session, placement a la fin des etudes"
ATTORNEY GENERAL,LEGAL SERVICES DIVISION,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
ATTORNEY GENERAL,FRENCH LANGUAGE SERVICES FOR THE JUSTICE SECTOR,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
ATTORNEY GENERAL,OFFICE OF THE PUBLIC GUARDIAN AND TRUSTEE,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
ATTORNEY GENERAL,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
ATTORNEY GENERAL,ONTARIO HUMAN RIGHTS COMMISSION,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
ATTORNEY GENERAL,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,Employment Application Inventory,Repertoire des demandes d'emploi
ATTORNEY GENERAL,FRENCH LANGUAGE SERVICES FOR THE JUSTICE SECTOR,Employment Application Inventory,Repertoire des demandes d'emploi
ATTORNEY GENERAL,LEGAL SERVICES DIVISION,Employment Application Inventory,Repertoire des demandes d'emploi
ATTORNEY GENERAL,LEGISLATIVE COUNSEL,Employment Application Inventory,Repertoire des demandes d'emploi
ATTORNEY GENERAL,CRIMINAL LAW DIVISION,Employment Application Inventory,Repertoire des demandes d'emploi
ATTORNEY GENERAL,CONSTITUTIONAL LAW BRANCH,Employment Application Inventory,Repertoire des demandes d'emploi
ATTORNEY GENERAL,OFFICE OF THE PUBLIC GUARDIAN AND TRUSTEE,FUTURES Program Applicants and Participants,Candidats et participants au programme L'AVENIR
ATTORNEY GENERAL,OFFICE OF THE PUBLIC GUARDIAN AND TRUSTEE,Freedom of Information and Protection of Privacy Act Requests,Requêtes en vertu de la loi sur l'accès à l'information et de la protection de la vie privée
ATTORNEY GENERAL,LEGAL SERVICES DIVISION,Freedom of Information and Protection of Privacy Act Requests,Requêtes en vertu de la loi sur l'accès à l'information et de la protection de la vie privée
ATTORNEY GENERAL,ONTARIO HUMAN RIGHTS COMMISSION,Freedom of Information and Protection of Privacy Act Requests,Requêtes en vertu de la loi sur l'accès à l'information et de la protection de la vie privée
ATTORNEY GENERAL,OFFICE OF THE CHILDREN'S LAWYER,Freedom of Information and Protection of Privacy Act Requests,Requêtes en vertu de la loi sur l'accès à l'information et de la protection de la vie privée
ATTORNEY GENERAL,CRIMINAL LAW DIVISION,Freedom of Information and Protection of Privacy Act Requests,Requêtes en vertu de la loi sur l'accès à l'information et de la protection de la vie privée
ATTORNEY GENERAL,LEGISLATIVE COUNSEL,Freedom of Information and Protection of Privacy Act Requests,Requêtes en vertu de la loi sur l'accès à l'information et de la protection de la vie privée
ATTORNEY GENERAL,JUSTICE SECTOR FREEDOM OF INFORMATION AND PROTECTION OF PRIVACY OFFICE,Freedom of Information and Protection of Privacy Act Requests,Requêtes en vertu de la loi sur l'accès à l'information et de la protection de la vie privée
ATTORNEY GENERAL,CONSTITUTIONAL LAW BRANCH,Freedom of Information and Protection of Privacy Act Requests,Requêtes en vertu de la loi sur l'accès à l'information et de la protection de la vie privée
ATTORNEY GENERAL,ONTARIO HUMAN RIGHTS COMMISSION,General Employment History and Payroll Information,Renseignements generaux sur l'emploi et la paie
ATTORNEY GENERAL,OFFICE OF THE PUBLIC GUARDIAN AND TRUSTEE,General Employment History and Payroll Information,Renseignements generaux sur l'emploi et la paie
ATTORNEY GENERAL,CONSTITUTIONAL LAW BRANCH,General Employment History and Payroll Information,Renseignements generaux sur l'emploi et la paie
ATTORNEY GENERAL,LEGAL SERVICES DIVISION,General Employment History and Payroll Information,Renseignements generaux sur l'emploi et la paie
ATTORNEY GENERAL,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,General Employment History and Payroll Information,Renseignements generaux sur l'emploi et la paie
ATTORNEY GENERAL,OFFICE OF THE CHILDREN'S LAWYER,Grievances and Applications,Griefs
ATTORNEY GENERAL,ONTARIO HUMAN RIGHTS COMMISSION,Grievances and Applications,Griefs
ATTORNEY GENERAL,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,Grievances and Applications,Griefs
ATTORNEY GENERAL,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,Health and Medical Records,Dossiers medicaux
ATTORNEY GENERAL,OFFICE OF THE CHILDREN'S LAWYER,Identity/Employee Card,Identite/Carte des employes
ATTORNEY GENERAL,OFFICE OF THE PUBLIC GUARDIAN AND TRUSTEE,Identity/Employee Card,Identite/Carte des employes
ATTORNEY GENERAL,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,CORPAY,CORPAY
ATTORNEY GENERAL,FRENCH LANGUAGE SERVICES FOR THE JUSTICE SECTOR,Library Users Lists,Liste des utilisateurs des bibliotheques
ATTORNEY GENERAL,CRIMINAL LAW DIVISION,Litigation Files,Litiges
ATTORNEY GENERAL,CONSTITUTIONAL LAW BRANCH,Litigation Files,Litiges
ATTORNEY GENERAL,ONTARIO HUMAN RIGHTS COMMISSION,Litigation Files,Litiges
ATTORNEY GENERAL,OFFICE OF THE PUBLIC GUARDIAN AND TRUSTEE,Litigation Files,Litiges
ATTORNEY GENERAL,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,Medical Information (Personnel),Renseignements medicaux (Personnel)
ATTORNEY GENERAL,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,Ombudsman/Human Rights Commission,Ombudsman/Commission des droits de la personne
ATTORNEY GENERAL,OFFICE OF THE PUBLIC GUARDIAN AND TRUSTEE,Ombudsman/Human Rights Commission,Ombudsman/Commission des droits de la personne
ATTORNEY GENERAL,ONTARIO HUMAN RIGHTS COMMISSION,Ombudsman/Human Rights Commission,Ombudsman/Commission des droits de la personne
ATTORNEY GENERAL,ONTARIO HUMAN RIGHTS COMMISSION,Performance Management,Gestion du rendement
ATTORNEY GENERAL,OFFICE OF THE PUBLIC GUARDIAN AND TRUSTEE,Performance Management,Gestion du rendement
ATTORNEY GENERAL,LEGAL SERVICES DIVISION,Performance Management,Gestion du rendement
ATTORNEY GENERAL,OFFICE OF THE PUBLIC GUARDIAN AND TRUSTEE,Professional Development,Perfectionnement professionnel
ATTORNEY GENERAL,LEGAL SERVICES DIVISION,Student Applications,Demandes d'inscription des etudiants
ATTORNEY GENERAL,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,Student Applications,Demandes d'inscription des etudiants
ATTORNEY GENERAL,ONTARIO HUMAN RIGHTS COMMISSION,Student Applications,Demandes d'inscription des etudiants
ATTORNEY GENERAL,FRENCH LANGUAGE SERVICES FOR THE JUSTICE SECTOR,Travel/Expense Accounts,Frais de deplacement et de representation
ATTORNEY GENERAL,LEGISLATIVE COUNSEL,Travel/Expense Accounts,Frais de deplacement et de representation
ATTORNEY GENERAL,OFFICE OF THE PUBLIC GUARDIAN AND TRUSTEE,Travel/Expense Accounts,Frais de deplacement et de representation
ATTORNEY GENERAL,CRIMINAL LAW DIVISION,Travel/Expense Accounts,Frais de deplacement et de representation
ATTORNEY GENERAL,OFFICE OF THE CHILDREN'S LAWYER,Travel/Expense Accounts,Frais de deplacement et de representation
ATTORNEY GENERAL,LEGAL SERVICES DIVISION,Travel/Expense Accounts,Frais de deplacement et de representation
ATTORNEY GENERAL,ONTARIO HUMAN RIGHTS COMMISSION,Workplace Safety and Insurance,Sécurité professionnelle et assurance contre les accidents du travail
ATTORNEY GENERAL,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,Workplace Safety and Insurance,Sécurité professionnelle et assurance contre les accidents du travail
ATTORNEY GENERAL,OFFICE OF THE PUBLIC GUARDIAN AND TRUSTEE,Workforce Information Network (WIN),Réseau d information sur les ressources humaines
ATTORNEY GENERAL,HUMAN RESOURCES STRATEGIC BUSINESS UNIT,Workforce Information Network (WIN),Réseau d information sur les ressources humaines
ATTORNEY GENERAL,FRENCH LANGUAGE SERVICES FOR THE JUSTICE SECTOR,Workforce Information Network (WIN),Réseau d information sur les ressources humaines
ATTORNEY GENERAL,LEGAL SERVICES DIVISION,Workforce Information Network (WIN),Réseau d information sur les ressources humaines
ATTORNEY GENERAL,OFFICE OF THE CHILDREN'S LAWYER,Corporate Personnel/Employee Information,Renseignements sur le personnel ministériel et les fonctionnaires
ATTORNEY GENERAL,OFFICE OF THE CHILDREN'S LAWYER,Workplace Safety and Insurance,Sécurité professionnelle et assurance contre les accidents du travail
ATTORNEY GENERAL,OFFICE OF THE CHILDREN'S LAWYER,Employment Application Inventory,Repertoire des demandes d'emploi
ATTORNEY GENERAL,OFFICE OF THE PUBLIC GUARDIAN AND TRUSTEE,Board of Governors Membership,Membres du conseil d'administration
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",LEGAL SERVICES BRANCH,Ombudsman/Human Rights Tribunal,Ombudsman/Tribunal des droits de la personne de l'Ontario
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",ONTARIO HONOURS AND AWARDS SECRETARIAT,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",LABOUR MARKET INTEGRATION UNIT,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",GLOBAL EXPERIENCE ONTARIO,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",LANGUAGE TRAINING UNIT,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SUPPORT SERVICES UNIT,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CITIZENSHIP AND IMMIGRATION DIVISION,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",OFFICE OF THE EXECUTIVE DIRECTOR,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",POLICY AND INTERGOVERNMENTAL RELATIONS UNIT,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",SETTLEMENT AND DIVERSITY PROGRAM UNIT,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE","FRENCH LANGUAGE SERVICES, EDUCATION AND COMMUNITY SERVICES CLUSTER",Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CENTRAL REGION,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",NORTH REGION,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EAST REGION,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",IMMIGRATION POLICY BRANCH,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EMERGENCY MANAGEMENT AND SECURITY,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",WEST REGION,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CITIZENSHIP BRANCH,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",VOLUNTARY SECTOR RELATIONS UNIT,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",PROVINCIAL NOMINEE PROGRAM UNIT,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL AND CORPORATE SERVICES DIVISION,Employee Travel Expense Claim (ETEC),Demande d indemnité de déplacement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EMERGENCY MANAGEMENT AND SECURITY,Corporate Personnel/Employee Information,Renseignements sur le personnel ministériel et les fonctionnaires
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",NORTH REGION,Corporate Personnel/Employee Information,Renseignements sur le personnel ministériel et les fonctionnaires
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",ONTARIO HONOURS AND AWARDS SECRETARIAT,Corporate Personnel/Employee Information,Renseignements sur le personnel ministériel et les fonctionnaires
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",SETTLEMENT AND DIVERSITY PROGRAM UNIT,Corporate Personnel/Employee Information,Renseignements sur le personnel ministériel et les fonctionnaires
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",OFFICE OF THE EXECUTIVE DIRECTOR,Corporate Personnel/Employee Information,Renseignements sur le personnel ministériel et les fonctionnaires
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CENTRAL REGION,Corporate Personnel/Employee Information,Renseignements sur le personnel ministériel et les fonctionnaires
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EAST REGION,Corporate Personnel/Employee Information,Renseignements sur le personnel ministériel et les fonctionnaires
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",WEST REGION,Corporate Personnel/Employee Information,Renseignements sur le personnel ministériel et les fonctionnaires
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SUPPORT SERVICES UNIT,Corporate Personnel/Employee Information,Renseignements sur le personnel ministériel et les fonctionnaires
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SERVICES BRANCH,Corporate Personnel/Employee Information,Renseignements sur le personnel ministériel et les fonctionnaires
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL AND CORPORATE SERVICES DIVISION,Board of Governors Membership,Membres du conseil d'administration
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",OFFICE OF THE EXECUTIVE DIRECTOR,Career Planning/Training,Planification de carriere et formation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CASE AND GRANTS MANAGEMENT SOLUTIONS,Career Planning/Training,Planification de carriere et formation
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",WEST REGION,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SERVICES BRANCH,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EMERGENCY MANAGEMENT AND SECURITY,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",HUMAN RESOURCES/STRATEGIC BUSINESS UNIT,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",DEPUTY MINISTER'S OFFICE,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EAST REGION,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",COMMUNICATIONS BRANCH,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",LEGAL SERVICES BRANCH,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",MINISTER'S OFFICE,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",PARLIAMENTARY ASSISTANT,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CENTRAL REGION,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",NORTH REGION,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SUPPORT SERVICES UNIT,"Employee Personnel, Payroll and Benefits Records","Dossiers sur le personnel, la paie et les avantages sociaux des employes"
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",LEGAL SERVICES BRANCH,Freedom of Information and Protection of Privacy Act Requests,Requêtes en vertu de la loi sur l'accès à l'information et de la protection de la vie privée
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",FREEDOM OF INFORMATION/PROTECTION OF PRIVACY,Freedom of Information and Protection of Privacy Act Requests,Requêtes en vertu de la loi sur l'accès à l'information et de la protection de la vie privée
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",WEST REGION,General Employment History and Payroll Information,Renseignements generaux sur l'emploi et la paie
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EAST REGION,General Employment History and Payroll Information,Renseignements generaux sur l'emploi et la paie
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",LEGAL SERVICES BRANCH,General Employment History and Payroll Information,Renseignements generaux sur l'emploi et la paie
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SUPPORT SERVICES UNIT,General Employment History and Payroll Information,Renseignements generaux sur l'emploi et la paie
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",PARLIAMENTARY ASSISTANT,General Employment History and Payroll Information,Renseignements generaux sur l'emploi et la paie
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SERVICES BRANCH,General Employment History and Payroll Information,Renseignements generaux sur l'emploi et la paie
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CENTRAL REGION,General Employment History and Payroll Information,Renseignements generaux sur l'emploi et la paie
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",NORTH REGION,General Employment History and Payroll Information,Renseignements generaux sur l'emploi et la paie
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",HUMAN RESOURCES/STRATEGIC BUSINESS UNIT,Grievances and Applications,Griefs
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",NORTH REGION,Identity/Employee Card,Identite/Carte des employes
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",FACILITIES,Identity/Employee Card,Identite/Carte des employes
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CENTRAL REGION,Identity/Employee Card,Identite/Carte des employes
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SUPPORT SERVICES UNIT,Identity/Employee Card,Identite/Carte des employes
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",WEST REGION,Identity/Employee Card,Identite/Carte des employes
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EAST REGION,Identity/Employee Card,Identite/Carte des employes
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SERVICES BRANCH,Identity/Employee Card,Identite/Carte des employes
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EMERGENCY MANAGEMENT AND SECURITY,Identity/Employee Card,Identite/Carte des employes
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",OFFICE OF THE EXECUTIVE DIRECTOR,CORPAY,CORPAY
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",LEGAL SERVICES BRANCH,Litigation Files,Litiges
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",LEGAL SERVICES BRANCH,Ombudsman/Human Rights Commission,Ombudsman/Commission des droits de la personne
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CENTRAL REGION,Parking Records (Employee),Registres de stationnement (Personnel)
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",WEST REGION,Parking Records (Employee),Registres de stationnement (Personnel)
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SUPPORT SERVICES UNIT,Parking Records (Employee),Registres de stationnement (Personnel)
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",NORTH REGION,Parking Records (Employee),Registres de stationnement (Personnel)
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SERVICES BRANCH,Parking Records (Employee),Registres de stationnement (Personnel)
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EAST REGION,Parking Records (Employee),Registres de stationnement (Personnel)
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CASE AND GRANTS MANAGEMENT SOLUTIONS,Performance Management,Gestion du rendement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",PROVINCIAL NOMINEE PROGRAM UNIT,Performance Management,Gestion du rendement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",LABOUR MARKET INTEGRATION UNIT,Performance Management,Gestion du rendement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",SETTLEMENT AND DIVERSITY PROGRAM UNIT,Performance Management,Gestion du rendement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",IMMIGRATION POLICY BRANCH,Performance Management,Gestion du rendement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",WEST REGION,Performance Management,Gestion du rendement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EAST REGION,Performance Management,Gestion du rendement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",EMERGENCY MANAGEMENT AND SECURITY,Performance Management,Gestion du rendement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",REGIONAL SERVICES BRANCH,Performance Management,Gestion du rendement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",NORTH REGION,Performance Management,Gestion du rendement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",PUBLIC AFFAIRS AND NEW MEDIA,Performance Management,Gestion du rendement
"CITIZENSHIP, IMMIGRATION AND INTERNATIONAL TRADE",CENTRAL REGION,Performance Management,Gestion du rendement
