 Amount ,Ministry,Category,Payment Detail,Recipient,Statutory,Additional Detail
" $192,522 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of Brockton,No Value,No Value
" $377,223 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of Brooke-Alvinston,No Value,No Value
" $128,931 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of Central Huron,No Value,No Value
" $193,758 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of Dutton-Dunwich,No Value,No Value
" $746,337 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of Huron East,No Value,No Value
" $205,934 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of Lambton Shores,No Value,No Value
" $745,648 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of Leamington,No Value,No Value
" $308,990 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of Morris-Turnberry,No Value,No Value
" $801,278 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of North Middlesex,No Value,No Value
" $248,864 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of North Perth,No Value,No Value
" $149,116 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of South Bruce,No Value,No Value
" $453,429 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of South Huron,No Value,No Value
" $266,276 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of Southwest Middlesex,No Value,No Value
" $222,268 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of Thames Centre,No Value,No Value
" $210,052 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of West Elgin,No Value,No Value
" $143,426 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of West Nipissing,No Value,No Value
" $233,165 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Municipality Of West Perth,No Value,No Value
" $341,282 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,New Gmf (O/A Greenwood Mushroom Farm),No Value,No Value
" $228,219 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Norfolk County,No Value,No Value
" $137,958 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Occupational Health Clinics For Ontario Workers Inc,No Value,No Value
" $806,352 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Ontario 4-H Council,No Value,No Value
" $649,972 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Ontario Agri-Food Education Inc,No Value,No Value
" $122,532 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Ontario Apple Growers,No Value,No Value
" $153,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Ontario Dairy Council,No Value,No Value
" $188,730 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Ontario Federation Of Agriculture,No Value,No Value
" $169,516 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Ontario Food Terminal Board,No Value,No Value
" $319,550 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Ontario Fruit & Vegetable Growers' Association,No Value,No Value
" $297,370 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Ontario Grape And Wine Research Inc,No Value,No Value
" $274,238 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Ontario Greenhouse Vegetable Producers' Marketing Board,No Value,No Value
" $415,025 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Ontario Independent Meat Processors Association O/A Meat And Poultry Ontario,No Value,No Value
" $213,548 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Ontario Pork Industry Council,No Value,No Value
" $951,061 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Ontario Pork Producers Marketing Board,No Value,No Value
" $14,510,961 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Ontario Soil & Crop Improvement Association,No Value,No Value
" $190,548 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Ontario Tender Fruit Growers,No Value,No Value
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Osmow's Commissary Ltd,No Value,No Value
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Palma Pasta Corporation,No Value,No Value
" $163,042 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Pelee Acres Inc,No Value,No Value
" $213,749 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Penokean Hills Farms Inc,No Value,No Value
" $360,096 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Premier Kosher Inc,No Value,No Value
" $350,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Premium Brands Operating Limited Partnership O/A Piller's Fine Foods,No Value,No Value
" $131,502 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Provision Coalition Inc,No Value,No Value
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Pure Foods Meat Solutions Inc,No Value,No Value
" $149,883 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,R Fiedler Meat Products Ltd,No Value,No Value
" $18,197,012 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Receiver General Of Canada,No Value,No Value
" $283,213 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Royal Agricultural Winter Fair Association Of Canada O/A Royal Agricultural Winter Fair,No Value,No Value
" $426,610 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Rural Ontario Institute,No Value,No Value
" $171,614 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Sikorski Sausages Co Ltd,No Value,No Value
" $149,940 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Super Sausage 2003 Ltd,No Value,No Value
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,T & R Sargent Farms Ltd,No Value,No Value
" $4,601,391 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,The Corporation Of The Municipality Of Chatham-Kent,No Value,No Value
" $200,510 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,The Corporation Of The Township Of Huron-Kinloss,No Value,No Value
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,The Meat Factory Limited,No Value,No Value
" $216,943 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Town Of Amherstburg,No Value,No Value
" $152,321 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Town Of Bradford-West Gwillimbury,No Value,No Value
" $346,185 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Town Of Essex,No Value,No Value
" $231,952 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Town Of Kingsville,No Value,No Value
" $155,948 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Town Of Lakeshore,No Value,No Value
" $250,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Town Of Midland,No Value,No Value
" $207,107 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Town Of New Tecumseth,No Value,No Value
" $497,635 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Town Of Plympton-Wyoming,No Value,No Value
" $222,625 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Town Of Tecumseh,No Value,No Value
" $881,795 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Township Of Ashfield-Colborne-Wawanosh,No Value,No Value
" $229,104 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Township Of East Zorra-Tavistock,No Value,No Value
" $307,341 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Township Of Enniskillen,No Value,No Value
" $235,395 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Township Of Howick,No Value,No Value
" $280,786 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Township Of Malahide,No Value,No Value
" $181,931 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Township Of Middlesex Centre,No Value,No Value
" $139,425 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Township Of North Huron,No Value,No Value
" $644,357 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Township Of Norwich,No Value,No Value
" $333,556 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Township Of Perth East,No Value,No Value
" $344,999 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Township Of Perth South,No Value,No Value
" $318,741 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Township Of South-West Oxford,No Value,No Value
" $416,397 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Township Of Southwold,No Value,No Value
" $573,041 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Township Of St Clair,No Value,No Value
" $437,948 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Township Of Warwick,No Value,No Value
" $181,782 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Township Of Wellington North,No Value,No Value
" $130,621 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Township Of Wilmot,No Value,No Value
" $166,479 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Township Of Zorra,No Value,No Value
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Triple Mc Farms Limited,No Value,No Value
" $138,270 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Uniqpol Inc,No Value,No Value
" $68,377,247 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,University Of Guelph,No Value,No Value
" $221,378 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,2506966 Ontario Inc (O/A I2C Apps),No Value,No Value
" $65,442 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,A D Groups Public Relation Inc,No Value,No Value
" $70,060 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Alrm Group Inc,No Value,No Value
" $159,535 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Bw 360 Food Safety Solutions Ltd,No Value,No Value
" $65,000 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Canadian Federation Of Independent Grocers,No Value,No Value
" $175,761 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Canadian Linen & Uniform Service Co,No Value,No Value
" $67,149 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Clean Harbors Exploration Services Lp,No Value,No Value
" $305,100 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Code 4 Canada,No Value,No Value
" $1,384,601 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Cossette Media Inc,No Value,No Value
" $70,139 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Dufferin Veterinary Services Professional Corporation,No Value,No Value
" $244,928 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Economic Modeling Llc (O/A Emsi),No Value,No Value
" $745,409 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Encore Field Marketing Solutions Inc,No Value,No Value
" $367,938 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Initiative Media Canada Inc,No Value,No Value
" $872,103 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Interpublic Group Of Companies Canada Inc,No Value,No Value
" $64,347 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Lifeworks (Canada) Ltd,No Value,No Value
" $60,283 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Lionbridge Ltd,No Value,No Value
" $62,400 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,"Luke, Geoffrey Bruce",No Value,No Value
" $66,760 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Macleod Collard And Smith Veterinary Professional Corporation,No Value,No Value
" $2,023,689 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Media Experts Ipg Inc,No Value,No Value
" $50,430 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Metzger Veterinary Services Professional Corporation,No Value,No Value
" $67,359 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Navan Veterinary Services,No Value,No Value
" $117,158 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Newry Veterinary Services Professional Corp,No Value,No Value
" $630,052 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Noraxx Inspections Inc,No Value,No Value
" $2,924,360 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Ontario Infrastructure And Lands Corporation,No Value,No Value
" $106,404 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Paris Veterinary Clinic Professional Corporation,No Value,No Value
" $58,148 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Purolator Inc,No Value,No Value
" $56,500 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Restaurants Canada,No Value,No Value
" $61,308 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Ricoh Canada Inc,No Value,No Value
" $386,529 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Rogers Communications Canada Inc,No Value,No Value
" $164,630 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Sander Geophysics Ltd,No Value,No Value
" $392,226 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Shore Consulting Group Inc,No Value,No Value
" $153,059 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Smartsimple Software Inc,No Value,No Value
" $78,024 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Unit Park Management I,No Value,No Value
" $84,600 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,University Of Guelph,No Value,No Value
" $93,184 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Voltaire Communications Corporation,No Value,No Value
" $142,307 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,West Canadian Digital Imaging Inc,No Value,No Value
" $224,700 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Zengenti Ltd,No Value,No Value
" $2,293,377 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,"Accounts Under $50,000",No Value,No Value
" $100,000 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Municipality Of West Nipissing,Payments Under The Tile Drainage Act,No Value
" $86,500 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Township Of Ramara,Payments Under The Tile Drainage Act,No Value
" $75,000 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Town Of Lakeshore,Payments Under The Tile Drainage Act,No Value
" $73,000 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Township Of Dawn-Euphemia,Payments Under The Tile Drainage Act,No Value
" $50,000 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Municipality Of Northern Bruce Peninsula,Payments Under The Tile Drainage Act,No Value
" $50,000 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Regional Municipality Of Niagara,Payments Under The Tile Drainage Act,No Value
" $50,000 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Town Of Erin,Payments Under The Tile Drainage Act,No Value
" $50,000 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Township Of Brethour,Payments Under The Tile Drainage Act,No Value
" $50,000 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Township Of Oro-Medonte,Payments Under The Tile Drainage Act,No Value
" $50,000 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,Township Of Southgate,Payments Under The Tile Drainage Act,No Value
" $515,200 ","Ministry Of Agriculture, Food And Rural Affairs",Other Payments,No Value,"Accounts Under $50,000",Payments Under The Tile Drainage Act,No Value
" $38,756 ","Ministry Of Agriculture, Food And Rural Affairs",Statutory Payments,Ministers' Salaries,Hon. Lisa M. Thompson,Executive Council Act,"June 18, 2021 To March 31, 2022"
" $10,545 ","Ministry Of Agriculture, Food And Rural Affairs",Statutory Payments,Ministers' Salaries,Hon. Ernie Hardeman,Executive Council Act,"April 1, 2021 To June 17, 2021"
" $16,667 ","Ministry Of Agriculture, Food And Rural Affairs",Statutory Payments,Parliamentary Assistants' Salaries,Randy Pettapiece,Executive Council Act,"April 1, 2021 To March 31, 2022"
" $16,667 ","Ministry Of Agriculture, Food And Rural Affairs",Statutory Payments,Parliamentary Assistants' Salaries,Toby Barrett,Executive Council Act,"April 1, 2021 To March 31, 2022"
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Venetian Meat And Salami Co Ltd,No Value,No Value
" $4,294,600 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Vineland Research And Innovations Centre Inc,No Value,No Value
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,West Grey Premium Beef Inc,No Value,No Value
" $150,000 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,White Veal Meat Packers Ltd,No Value,No Value
" $5,621,044 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Wine Marketing Association Of Ontario,No Value,No Value
" $203,666 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,Workplace Safety & Prevention Services,No Value,No Value
" $25,230,046 ","Ministry Of Agriculture, Food And Rural Affairs",Transfer Payments,No Value,"Accounts Under $120,000",No Value,No Value
" $3,051 ",Office Of The Assembly,Salaries And Wages,Temporary Help Services,"Accounts Under $50,000",No Value,No Value
" $1,698,005 ",Office Of The Assembly,Employee Benefits,No Value,Canada Revenue Agency,No Value,No Value
